type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-10-13 03:07:35,23.29311151,77.27270031,45,457.348,,0.000,,8,45,20221013-083735,GPS Logger: 20221013-083735 - Track_8_Oct_13
T,2022-10-13 03:07:36,23.29316763,77.27237726,40,457.349,,0.000,,8,45,,
T,2022-10-13 03:07:37,23.29321043,77.27239131,35,457.346,,0.000,,9,45,,
T,2022-10-13 03:07:38,23.29318776,77.27236880,17,457.287,,0.000,,9,45,,
T,2022-10-13 03:07:39,23.29318964,77.27235844,23,457.325,,0.000,,9,46,,
T,2022-10-13 03:07:40,23.29321786,77.27234813,23,457.257,,0.000,,9,46,,
T,2022-10-13 03:07:41,23.29323151,77.27233899,21,457.195,,0.000,,9,46,,
T,2022-10-13 03:07:42,23.29323476,77.27233383,20,457.207,,0.000,,10,46,,
T,2022-10-13 03:07:43,23.29323894,77.27237219,19,457.252,,0.000,,10,46,,
T,2022-10-13 03:07:44,23.29324629,77.27244366,17,457.353,,0.000,,10,46,,
T,2022-10-13 03:07:45,23.29324685,77.27244901,16,457.363,,0.000,,10,46,,
T,2022-10-13 03:07:46,23.29324684,77.27244903,16,457.363,,0.000,,7,46,,
T,2022-10-13 03:07:47,23.29324882,77.27244842,14,457.379,,0.000,,7,46,,
T,2022-10-13 03:07:48,23.29324875,77.27244856,15,457.376,,0.000,,6,46,,
T,2022-10-13 03:07:49,23.29324878,77.27244854,16,457.375,,0.000,,6,46,,
T,2022-10-13 03:07:50,23.29324594,77.27245056,17,457.388,,0.000,,5,32,,
T,2022-10-13 03:07:51,23.29325441,77.27244420,20,457.336,,0.000,,5,31,,
T,2022-10-13 03:07:52,23.29325441,77.27244420,25,457.336,,0.000,,4,31,,
T,2022-10-13 03:07:53,23.29325438,77.27244388,28,457.336,,0.000,,4,31,,
T,2022-10-13 03:07:54,23.29325419,77.27244393,32,457.335,,0.000,,5,31,,
T,2022-10-13 03:07:55,23.29325410,77.27244295,39,457.335,,0.000,,4,46,,
T,2022-10-13 03:07:56,23.29325411,77.27244297,48,457.337,,0.000,,4,46,,
T,2022-10-13 03:07:57,23.29325608,77.27244146,56,457.336,,0.000,,4,46,,
T,2022-10-13 03:07:58,23.29325234,77.27244437,70,457.338,,0.000,,4,46,,
T,2022-10-13 03:07:59,23.29325077,77.27244549,75,457.338,,0.000,,4,46,,
T,2022-10-13 03:08:00,23.29324643,77.27244879,51,457.339,,0.000,,4,46,,
T,2022-10-13 03:08:01,23.29324516,77.27245032,34,457.329,,0.000,,7,46,,
T,2022-10-13 03:08:02,23.29324836,77.27244632,30,457.371,,0.000,,7,46,,
T,2022-10-13 03:08:03,23.29324871,77.27244588,28,457.388,,0.000,,7,46,,
T,2022-10-13 03:08:04,23.29324866,77.27244614,26,457.396,,0.000,,7,46,,
T,2022-10-13 03:08:05,23.29324959,77.27244597,27,457.406,,0.000,,7,46,,
T,2022-10-13 03:08:06,23.29325008,77.27244567,28,457.417,,0.000,,7,46,,
T,2022-10-13 03:08:07,23.29324984,77.27244567,30,457.410,,0.000,,5,46,,
T,2022-10-13 03:08:08,23.29324892,77.27244583,33,457.400,,0.000,,5,46,,
T,2022-10-13 03:08:09,23.29324864,77.27244589,36,457.396,,0.000,,5,46,,
T,2022-10-13 03:08:10,23.29324874,77.27244592,33,457.401,,0.000,,5,46,,
T,2022-10-13 03:08:11,23.29324880,77.27244587,32,457.410,,0.000,,6,46,,
T,2022-10-13 03:08:12,23.29324878,77.27244585,31,457.420,,0.000,,7,46,,
T,2022-10-13 03:08:13,23.29324875,77.27244582,31,457.428,,0.000,,7,46,,
T,2022-10-13 03:08:14,23.29324874,77.27244568,19,457.438,,0.000,,7,46,,
T,2022-10-13 03:08:15,23.29324871,77.27244521,17,457.440,,0.000,,5,33,,
T,2022-10-13 03:08:16,23.29324871,77.27244528,18,457.434,,0.000,,4,32,,
T,2022-10-13 03:08:17,23.29324869,77.27244496,21,457.428,,0.000,,4,32,,
T,2022-10-13 03:08:18,23.29324869,77.27244496,31,457.405,,0.000,,3,32,,
T,2022-10-13 03:08:19,23.29324866,77.27244460,43,457.388,,0.000,,3,32,,
T,2022-10-13 03:08:20,23.29324855,77.27244319,55,457.374,,0.000,,3,44,,
T,2022-10-13 03:08:21,23.29324864,77.27244379,65,457.367,,0.000,,2,47,,
T,2022-10-13 03:08:22,23.29324859,77.27244312,83,457.360,,0.000,,2,47,,
T,2022-10-13 03:08:23,23.29324854,77.27244244,101,457.356,,0.000,,2,47,,
T,2022-10-13 03:08:24,23.29324847,77.27244151,122,457.352,,0.000,,2,47,,
T,2022-10-13 03:08:25,23.29324861,77.27244349,139,457.351,,0.000,,2,47,,
T,2022-10-13 03:08:26,23.29324872,77.27244505,154,457.349,,0.000,,3,47,,
T,2022-10-13 03:08:27,23.29324863,77.27244391,178,457.348,,0.000,,4,47,,
T,2022-10-13 03:08:28,23.29324868,77.27244422,197,457.347,,0.000,,4,47,,
T,2022-10-13 03:08:29,23.29324897,77.27244457,219,457.346,,0.000,,4,47,,
T,2022-10-13 03:08:30,23.29324899,77.27244455,240,472.187,,0.000,,4,47,,
T,2022-10-13 03:08:31,23.29324899,77.27244457,264,472.194,,0.000,,4,47,,
T,2022-10-13 03:08:32,23.29324895,77.27244484,58,471.683,,0.000,,4,47,,
T,2022-10-13 03:08:33,23.29325060,77.27243313,56,471.694,,0.000,,4,47,,
T,2022-10-13 03:08:34,23.29325133,77.27243454,58,471.694,,0.000,,4,46,,
T,2022-10-13 03:08:35,23.29325433,77.27242955,62,471.715,,0.000,,4,47,,
T,2022-10-13 03:08:36,23.29326442,77.27243453,65,471.728,,1.560,15,5,47,,
T,2022-10-13 03:08:37,23.29328125,77.27244077,75,471.736,,1.610,15,3,47,,
T,2022-10-13 03:08:38,23.29329606,77.27244258,84,471.738,,1.270,13,3,47,,
T,2022-10-13 03:08:39,23.29330876,77.27244385,59,470.969,,1.240,11,5,47,,
T,2022-10-13 03:08:40,23.29332069,77.27244453,54,470.374,,1.200,9,7,47,,
T,2022-10-13 03:08:41,23.29333190,77.27244490,51,469.755,,1.170,8,7,47,,
